r,e
2.5,32664.25095
2.52,32664.01429
2.54,32663.8212
2.56,32663.66082
2.58,32663.26484
2.6,32661.94939
2.62,32666.70889
2.64,32665.04762
2.66,32664.25441
2.68,32664.05089
2.7,32663.81661
2.72,32663.58712
2.74,32663.15896
2.76,32661.20118
2.78,32665.84402
2.8,32664.52211
2.82,32664.33472
2.84,32663.98543
2.86,32663.76816
2.88,32663.50677
2.9,32663.03821
2.92,32655.40057
2.94,32665.26669
2.96,32664.38492
2.98,32664.01461
3,32663.91904
3.02,32663.78147
3.04,32663.48503
3.06,32662.72257
3.08,32672.53552
3.1,32664.84203
3.12,32664.26759
3.14,32664.02918
3.16,32664.05249
3.18,32663.66451
3.2,32663.25422
3.22,32662.14019
3.24,32666.6909
3.26,32664.63307
3.28,32664.21221
3.3,32663.97076
3.32,32663.63473
3.34,32663.55989
3.36,32663.1155
3.38,32659.72538
3.4,32665.44628
3.42,32664.42827
3.44,32664.11011
3.46,32663.88573
3.48,32663.68243
3.5,32663.51209
3.52,32662.80269
3.54,32674.80804
3.56,32664.89273
3.58,32664.32664
3.6,32664.05212
3.62,32663.84202
3.64,32663.57974
3.66,32663.46475
3.68,32662.17465
3.7,32666.94179
3.72,32664.6511
3.74,32664.18509
3.76,32663.98758
3.78,32663.78546
3.8,32663.5402
3.82,32662.54866
3.84,32660.1033
3.86,32665.51712
3.88,32664.48861
3.9,32664.13866
3.92,32663.9355
3.94,32663.72593
3.96,32663.44335
3.98,32662.73369
4,32654.59966
4.02,32664.96625
4.04,32664.33542
4.06,32664.05719
4.08,32663.84214
4.1,32663.48441
4.12,32663.33111
4.14,32662.25492
4.16,32667.29958
4.18,32664.68871
4.2,32664.23524
4.22,32663.99529
4.24,32663.79557
4.26,32663.36311
4.28,32663.13428
4.3,32660.62991
4.32,32665.72718
4.34,32664.52375
4.36,32664.15823
4.38,32663.95331
4.4,32663.73739
4.42,32663.46751
4.44,32662.87756
4.46,32659.86202
4.48,32666.098
4.5,32664.38417
4.52,32664.07592
4.54,32663.86519
4.56,32663.60377
4.58,32663.36799
4.6,32662.42986
4.62,32667.85415
4.64,32664.59987
4.66,32664.27792
4.68,32664.01604
4.7,32663.81442
4.72,32663.59849
4.74,32663.19307
4.76,32661.22339
4.78,32665.82837
4.8,32664.51414
4.82,32664.23985
4.84,32663.97521
4.86,32663.76896
4.88,32663.49862
4.9,32662.95007
4.92,32660.14576
4.94,32665.13103
4.96,32664.34996
4.98,32664.18886
5,32663.89398
5.02,32663.66167
5.04,32663.41975
5.06,32662.59213
5.08,32668.90364
5.1,32664.77234
5.12,32664.2284
5.14,32664.72865
5.16,32663.86806
5.18,32663.63308
5.2,32663.24519
5.22,32661.69655
5.24,32666.11937
5.26,32664.4992
5.28,32664.18306
5.3,32663.87371
5.32,32663.81068
5.34,32663.54355
5.36,32663.03213
5.38,32661.82962
5.4,32665.27666
5.42,32664.41123
5.44,32664.08762
5.46,32663.83631
5.48,32663.73411
5.5,32663.57604
5.52,32662.73614
5.54,32670.53247
5.56,32664.859
5.58,32664.29188
5.6,32664.01728
5.62,32663.81553
5.64,32663.71272
5.66,32663.30661
5.68,32662.04969
5.7,32666.57108
5.72,32664.61034
5.74,32664.23045
5.76,32663.98275
5.78,32663.76383
5.8,32664.20332
5.82,32663.14551
5.84,32659.88828
5.86,32665.47829
5.88,32664.46027
5.9,32664.12263
5.92,32663.90619
5.94,32663.69153
5.96,32663.27727
5.98,32662.89256
6,32657.26942
6.02,32664.97164
6.04,32664.33251
6.06,32664.07426
6.08,32663.86256
6.1,32663.64488
6.12,32663.28172
6.14,32662.37497
6.16,32667.2903
6.18,32664.69913
6.2,32664.32727
6.22,32664.01187
6.24,32663.8033
6.26,32663.56802
6.28,32663.13679
6.3,32661.18201
6.32,32665.72855
6.34,32664.51994
6.36,32664.15237
6.38,32663.9324
6.4,32663.74471
6.42,32663.46389
6.44,32662.96224
6.46,32659.25758
6.48,32665.11203
